Node	Beg	End
1146	27478	35494
1146	165149	165878
1146	182829	187970
1146	224942	228583
1146	341652	342864
1146	462385	463303
1146	533938	534676
1146	544433	548637
1146	612104	612892
1146	635302	638129
1146	673734	674463
1146	706044	708391
1146	804086	804140
1146	1079048	1083005
1146	1192608	1193502
1146	1248304	1248973
1146	1504753	1505299
1146	1613415	1623021
1146	1684992	1687541
1146	1705391	1709813
1146	1783807	1788962
1146	1867068	1868407
1146	1905739	1906582
1146	1931286	1937659
1146	1963183	1964218
1146	2017824	2023527
1146	2054902	2057124
1146	2096291	2098029
1146	2116885	2117769
1146	2291656	2294291
1146	2303248	2311272
1146	2330788	2339764
1146	2429756	2430136
1146	2587818	2589485
1146	2600066	2600720
1146	2643578	2648344
1146	2662643	2663451
1146	2782671	2783358
1146	2799623	2804593
1146	3247452	3248082
1146	3365636	3366238
1146	3396848	3398829
1146	3407726	3408299
1146	3423907	3424495
19-35	376518	380902
19-35	1103010	1104034
19-35	2266096	2267205
19-35	2308534	2308988
19-35	2891761	2892811
19-35	3338438	3338540
19-35	3428379	3428956
19-35	3543441	3545230
1A	104343	109653
1A	187488	187922
1A	485332	486229
1A	661741	663436
1A	891705	893458
1A	973411	978266
1A	1041955	1052438
1A	1087995	1094974
1A	1248304	1249447
1A	1504721	1504897
1A	1644647	1651788
1A	1831416	1836705
1A	2208596	2210875
1A	2983494	2984757
1A	3418932	3421884
1A	3538291	3539296
3201	159390	165878
3201	370379	370764
3201	758395	763596
3201	1591558	1591825
3201	1683317	1683860
3201	1723204	1727993
3201	1756206	1759384
3201	1852240	1852873
3201	1858656	1862803
3201	1931130	1933539
3201	1939843	1940393
3201	2226094	2226408
3201	2328839	2329541
3201	2339617	2340756
3201	2386179	2386523
3201	2416935	2417679
3201	3277916	3278060
3201	3382863	3387441
3201	3538291	3539296
3751	80427	85134
3751	285029	288894
3751	307277	308689
3751	404318	417336
3751	485650	488532
3751	749640	751251
3751	780666	782715
3751	945166	956779
3751	979480	981174
3751	1477121	1477906
3751	1641352	1641814
3751	1723566	1726426
3751	1751203	1761173
3751	1821347	1821901
3751	1957991	1960071
3751	2322186	2322452
3751	2414957	2415455
3751	2680376	2681540
3751	3264705	3265395
3751	3312616	3314043
3751	3394312	3395113
3751	3428948	3431889
3751	3516217	3516604
55	368994	370764
55	662185	663356
55	1708152	1709712
55	2009128	2009632
55	2173800	2174707
55	3541415	3543444
55	3551471	3552105
C042	369131	380902
C042	454359	457268
C042	761030	763929
C042	1055112	1056684
C042	1785277	1788386
C042	2339971	2340756
C042	2649508	2656719
C042	2892027	2894992
C042	2935739	2943523
C042	3465223	3471091
C085	2027171	2027273
ERR10432294	307183	307663
ERR10432294	317195	325906
ERR10432294	402514	405641
ERR10432294	661741	662560
ERR10432294	752458	763056
ERR10432294	891705	893458
ERR10432294	1001736	1002096
ERR10432294	1082553	1093665
ERR10432294	1506476	1509384
ERR10432294	1720482	1724827
ERR10432294	1931109	1931631
ERR10432294	2063332	2068300
ERR10432294	2266096	2268802
ERR10432294	2402082	2404876
ERR10432294	2588367	2593919
ERR10432294	2646351	2654024
ERR10432294	2662643	2671868
ERR10432294	3132429	3132713
ERR10432305	78767	85134
ERR10432305	155724	159930
ERR10432305	285029	288894
ERR10432305	295522	315572
ERR10432305	416965	417336
ERR10432305	465032	465995
ERR10432305	478549	481256
ERR10432305	516815	518063
ERR10432305	576807	577696
ERR10432305	716405	717048
ERR10432305	957954	960942
ERR10432305	1301166	1301272
ERR10432305	1601356	1602576
ERR10432305	1641352	1643495
ERR10432305	1756206	1759148
ERR10432305	1880150	1881438
ERR10432305	1957991	1960071
ERR10432305	2322186	2322452
ERR10432305	2414957	2415455
ERR10432305	2468106	2468598
ERR10432305	2547412	2548347
ERR10432305	3009697	3010700
ERR10432305	3155204	3155570
ERR10432305	3394312	3395113
ERR10432305	3409444	3411481
ERR10432305	3489925	3490810
ERR10432446	80427	82373
ERR10432446	104343	104878
ERR10432446	159551	162489
ERR10432446	307183	310447
ERR10432446	317195	326473
ERR10432446	402514	405641
ERR10432446	636610	638147
ERR10432446	673734	676214
ERR10432446	759103	759293
ERR10432446	785177	789301
ERR10432446	814128	826101
ERR10432446	890992	892136
ERR10432446	1354194	1358662
ERR10432446	1699952	1704133
ERR10432446	1831416	1836705
ERR10432446	1852275	1854758
ERR10432446	1968081	1973510
ERR10432446	2094379	2095021
ERR10432446	2291656	2294291
ERR10432446	2629263	2639631
ERR10432572	165122	165548
ERR10432572	187112	187970
ERR10432572	318966	328305
ERR10432572	366775	380902
ERR10432572	886726	892136
ERR10432572	1050284	1053708
ERR10432572	1082449	1083030
ERR10432572	1090492	1092231
ERR10432572	2005851	2007441
ERR10432572	2094621	2095021
ERR10432572	2373100	2374326
ERR10432572	2834492	2834513
ERR10432572	2960286	2963250
ERR10432572	3145272	3145731
ERR10432572	3294225	3297151
ERR10432572	3421335	3421884
ERR10432572	3450927	3454027
ERR10432572	3536530	3545165
ERR10439023	187103	187970
ERR10439023	1504806	1504924
ERR10439023	1566745	1567779
ERR10439023	1831416	1836705
ERR10439023	1867067	1873163
ERR10439023	2084258	2084789
ERR10439023	2097960	2098293
ERR10439023	2120665	2121460
ERR10439023	2426007	2428540
ERR10439023	2587309	2588435
ERR10439023	2768196	2768712
ERR10439023	3212042	3220063
ERR10439023	3294609	3299106
ERR10439023	3364027	3366200
ERR10439023	3538291	3543159
ERR10439024	187112	187922
ERR10439024	307095	311787
ERR10439024	370379	370764
ERR10439024	380644	380902
ERR10439024	404318	405641
ERR10439024	424933	429772
ERR10439024	465032	467400
ERR10439024	1077697	1078861
ERR10439024	1103010	1104034
ERR10439024	1784424	1787957
ERR10439024	2009080	2009632
ERR10439024	2054971	2055823
ERR10439024	2339818	2340756
ERR10439024	3294609	3298499
ERR10439024	3381452	3386851
ERR10439024	3538529	3545230
ERR4014870	15950	17383
ERR4014870	27431	35494
ERR4014870	317097	321577
ERR4014870	529793	532200
ERR4014870	544398	548637
ERR4014870	612104	613078
ERR4014870	635302	638129
ERR4014870	745491	746102
ERR4014870	804086	812329
ERR4014870	827198	847246
ERR4014870	889346	894833
ERR4014870	964334	968420
ERR4014870	1079048	1081423
ERR4014870	1192608	1193502
ERR4014870	1745262	1751580
ERR4014870	1765188	1768199
ERR4014870	1790494	1792411
ERR4014870	1935180	1937659
ERR4014870	1968081	1969443
ERR4014870	2005851	2008993
ERR4014870	2017824	2021705
ERR4014870	2094621	2095021
ERR4014870	2250164	2253604
ERR4014870	2303248	2304095
ERR4014870	2339764	2340756
ERR4014870	2452938	2454831
ERR4014870	2513427	2514414
ERR4014870	2577457	2580092
ERR4014870	2597342	2600720
ERR4014870	2782671	2786474
ERR4014870	3045916	3047247
ERR4014870	3247452	3248082
ERR4014870	3381452	3387441
ERR4014870	3404067	3409889
ERR4014870	3428379	3428956
FXH-168	886726	887903
FXH-168	2227968	2229468
FXH-168	2743313	2746856
GDH8C90P	28031	32529
GDH8C90P	224885	225998
GDH8C90P	272567	273694
GDH8C90P	319324	325742
GDH8C90P	377845	380861
GDH8C90P	485332	486229
GDH8C90P	752551	752998
GDH8C90P	1050114	1055513
GDH8C90P	1821347	1821901
GDH8C90P	1831416	1836705
GDH8C90P	1931136	1931793
GDH8C90P	2187730	2189979
GDH8C90P	2310636	2311274
